x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
0.00093,0.00067,0.00075,0.0006,0.00046,0.00442,0.0036,0.00295,0.00254,0.00238,0.0072,0.00619,0.00515,0.00412,0.00409,0.01136,0.00894,0.00776,0.00616,0.0056
0.00074,0.00067,0.0005,0.00047,0.00056,0.0039,0.00323,0.00244,0.00232,0.00224,0.00691,0.00559,0.00454,0.00405,0.00367,0.01082,0.00828,0.00636,0.00579,0.00532
0.00085,0.00055,0.00051,0.00035,0.00044,0.0035,0.00292,0.00217,0.00192,0.00187,0.00628,0.00478,0.00412,0.00356,0.00297,0.00992,0.00831,0.00643,0.00544,0.00507
0.00051,0.00053,0.00036,0.00035,0.00035,0.00358,0.00243,0.00194,0.00155,0.00154,0.00543,0.00476,0.00359,0.00323,0.00238,0.00826,0.00721,0.00561,0.00464,0.00388
0.00051,0.00026,0.0003,0.00024,0.0002,0.00298,0.00237,0.0017,0.00137,0.00129,0.00481,0.00414,0.00316,0.00246,0.00223,0.00711,0.00627,0.00492,0.00374,0.00371
0.00032,0.00039,0.00022,0.00019,0.00018,0.00266,0.00213,0.00139,0.00116,0.00128,0.00464,0.00334,0.00248,0.00218,0.00198,0.00703,0.00536,0.00423,0.00358,0.00315
0.00038,0.00026,0.00018,0.00024,6.00E-05,0.00235,0.00181,0.00137,0.00113,0.0009,0.00407,0.00318,0.0024,0.00197,0.0016,0.00723,0.00467,0.00353,0.00299,0.00287
0.00025,0.00024,0.00013,7.00E-05,0.00019,0.0019,0.00152,0.00108,0.00096,0.00088,0.00389,0.00294,0.00231,0.00144,0.00159,0.00606,0.00484,0.0035,0.00244,0.0027
0.0003,0.00017,0.00021,0.00013,0.00017,0.00183,0.00133,0.0011,0.00068,0.00076,0.00347,0.0024,0.00219,0.00159,0.00135,0.00497,0.00417,0.00327,0.00239,0.00229
0.00018,0.00017,8.00E-05,9.00E-05,0.00013,0.0014,0.00103,0.00087,0.00065,0.00051,0.0031,0.00213,0.00165,0.00119,0.00125,0.00488,0.00368,0.00289,0.00202,0.00181
0.00018,0.00017,9.00E-05,7.00E-05,0.0001,0.00126,0.00086,0.00072,0.00064,0.00055,0.00257,0.0019,0.0013,0.00103,0.00106,0.00459,0.00293,0.00248,0.00177,0.0014
0.00013,0.00014,0.0001,9.00E-05,8.00E-05,0.00093,0.00092,0.00051,0.00036,0.00045,0.00227,0.00183,0.00125,0.00098,0.00084,0.00378,0.00287,0.00194,0.00171,0.00146
0.00016,7.00E-05,0.0001,5.00E-05,8.00E-05,0.00105,0.00072,0.00041,0.00046,0.00028,0.00184,0.00147,0.00112,0.00086,0.00077,0.00371,0.0025,0.00191,0.00113,0.00111
7.00E-05,0.0001,0.00012,6.00E-05,2.00E-05,0.00091,0.00059,0.00052,0.00048,0.00034,0.00177,0.00134,0.00113,0.00081,0.00062,0.00316,0.00262,0.0015,0.00104,0.00114
