params1,params2_1,params2_2
0.4165460094754492,0.11239329707606892,0.33745337795226393
-0.21286068984129589,0.20735145728975635,-0.20675392776354323
-0.23103147696457169,-0.11744420307871999,-0.0063956075619555726
-0.02570603107355042,-0.6142277146321742,0.3403162907914876
-0.3992206632534805,-0.6233494654763793,0.20156515905940106
0.5554427097148559,-0.5181307823744394,-0.1265747868422716
-0.14700032045897465,0.33586897081208295,0.2875184926137589
-0.14208835971434844,-0.2587428376112944,0.17099792472499784
-0.5951889208445605,-0.12172568326409651,-0.33438387392944424
0.055934963336556,-0.21132285663344086,-0.33229057994278877
-0.2932762578381165,0.04577269970406648,-0.6138532674524557
0.2809915400527193,-0.0017305758096860932,-0.126979169067571
0.07791303486793971,-0.1627436300445203,-0.23336994380934922
-0.07881110903501905,0.31500389425598674,-0.3355229932132154
0.23373927668085837,-0.29629550289029727,-0.2722107581165247
-0.12471929622733312,0.14347063037627097,-0.007013576294757056
-0.21888033279859911,0.03283012695949354,0.14787728563094535
0.18261458443282488,0.05459224591842757,-0.24584764409128018
0.08086930311364973,-0.008443569721032511,0.3802970255006586
-0.2774859107432366,-0.9537901083954637,-0.025500461361071276
0.08909380452786454,-0.3917402485076932,-0.10399021055903986
0.1279396790415606,-0.10415329614626195,0.328322705976868
0.1552003103182223,0.40505545341164817,0.15617306949944346
-0.008531387948479255,0.24345558176021295,0.38516968954345854
-0.01814371013228795,0.5362415623321097,0.49431318767761173
-0.24816799755924945,0.46257998082003565,0.14813735326898306
-0.004482623931971682,0.04894041639414676,0.05974141644667439
0.3164656766252096,0.06140141450844344,0.11274285859419832
0.3561730826420558,-0.1620596295361184,-0.46645732190705846
0.024920832257183816,-0.17808949110822203,0.1959358649747628
0.029302573983882297,-0.07411722715279662,0.21039359166439148
0.2234427986972547,0.06926156754854526,-0.5034810673695684
0.12754688500930483,-0.14096047304837306,0.21076081421719706
0.04696811499853367,-0.014381063653108985,0.2833365687647719
-0.005412180684522544,-0.4624503353307648,-0.3990883235999604
-0.23322812193609058,-0.27557552578932565,0.20514465524606998
-0.01772091909920015,0.38903661283273877,-0.1052727126637383
0.12520066501926919,-0.09792449445273022,0.022408020695057384
0.04510618790579835,-0.22567339421942273,-0.3394909346160441
0.034834515741294175,-0.08235388920884007,0.10385022888712277
-0.0449822720282856,0.25468368389168766,0.1164958976554247
