0.0	0.0007	0.0004	0.1573	0.2334	0.0007	0.0762	0.0726	0.0109	0.1565	0.0025	0.0022	0.0004	0.282	0.0403	0.1852	0.2031	0.4958	0.0475	0.083	0.1431	0.0484	0.0034	0.2852	0.1316	0.1539	0.4864	0.2714	0.0167	0.0889	0.0213	0.0205	0.1696	0.2007	0.4465	0.0171	0.0008	0.0619	0.5631	0.7367	0.1294	0.0954	0.0002	0.0706	0.072	0.4274	0.027	0.0341	0.2049	0.2707	0.2188	0.0861	0.551	0.1195	0.3404	0.0109	0.0012	0.348	0.0666	0.2612	0.1689	0.5908	0.2142	0.0079	0.0014	0.0384	0.1432	0.2383	0.5892	0.0605	0.165	0.6212	0.1686	0.0013	0.0261	0.221	0.0	0.0356	0.0256	0.0364	0.0397	0.187	0.2296	0.099	0.0226	0.0347	0.0456	0.0075	0.1818	0.6159	0.5136	0.0081	0.5411	0.0293	0.007	0.0065	0.0488	0.1681	0.0371	0.1641
0.0006	0.0055	0.001	0.2103	0.287	0.0032	0.1821	0.1873	0.0403	0.2035	0.0102	0.0076	0.0008	0.3137	0.087	0.2907	0.1737	0.2501	0.1239	0.1883	0.1417	0.1309	0.0119	0.3063	0.2342	0.2502	0.2655	0.314	0.0594	0.1275	0.0613	0.0765	0.2633	0.2272	0.2545	0.0543	0.0041	0.1553	0.2391	0.1904	0.1239	0.1938	0.0009	0.19	0.1335	0.3185	0.037	0.1139	0.1891	0.2505	0.2953	0.1984	0.2784	0.1715	0.3035	0.0331	0.0016	0.3022	0.1612	0.3047	0.182	0.2145	0.3051	0.0131	0.006	0.1211	0.2729	0.1658	0.2277	0.1507	0.2762	0.2462	0.2067	0.0062	0.0739	0.2496	0.0	0.1077	0.0732	0.1079	0.1148	0.2674	0.2796	0.2003	0.0335	0.086	0.1179	0.0333	0.165	0.2289	0.2857	0.0119	0.2646	0.0602	0.0226	0.0211	0.1207	0.2873	0.099	0.2521
0.0008	0.0167	0.0022	0.2045	0.2374	0.0102	0.2241	0.2498	0.0966	0.2	0.0285	0.0157	0.0028	0.2079	0.1288	0.2493	0.1322	0.1333	0.1962	0.2335	0.1305	0.1937	0.0229	0.2125	0.2496	0.245	0.1313	0.2318	0.1141	0.1452	0.1083	0.132	0.2368	0.2035	0.1397	0.1022	0.0134	0.2099	0.111	0.0525	0.1252	0.2396	0.0023	0.2522	0.1629	0.1638	0.0498	0.191	0.1922	0.192	0.2341	0.2388	0.1124	0.1778	0.1838	0.0615	0.0025	0.1823	0.2099	0.2191	0.157	0.0994	0.2357	0.0233	0.0179	0.1867	0.2548	0.1176	0.0969	0.2039	0.2542	0.0905	0.1886	0.0137	0.1268	0.1987	0.0	0.1594	0.1242	0.1699	0.1871	0.2394	0.2124	0.2334	0.0519	0.1514	0.1723	0.0782	0.1437	0.0856	0.1269	0.0149	0.1154	0.0896	0.0424	0.0439	0.1687	0.2492	0.1494	0.24
0.0026	0.0307	0.0037	0.1669	0.1277	0.0187	0.204	0.2149	0.1476	0.1569	0.0605	0.028	0.0042	0.112	0.1477	0.1579	0.109	0.0656	0.2123	0.2033	0.1176	0.1961	0.038	0.1097	0.1823	0.1748	0.0645	0.1088	0.1615	0.1413	0.1372	0.1779	0.1633	0.1562	0.0764	0.1403	0.0278	0.2054	0.051	0.0152	0.1174	0.2019	0.0063	0.2144	0.1712	0.0612	0.0725	0.2215	0.1591	0.1373	0.1462	0.205	0.0407	0.1557	0.099	0.0863	0.0033	0.0947	0.2057	0.127	0.1365	0.0524	0.1406	0.0306	0.0317	0.2096	0.173	0.0959	0.0448	0.1932	0.1716	0.0296	0.1498	0.0245	0.1593	0.1429	0.0001	0.1824	0.1675	0.1925	0.209	0.155	0.1412	0.1972	0.0626	0.1797	0.1908	0.13	0.121	0.0389	0.0483	0.0186	0.0492	0.1056	0.0646	0.0729	0.1878	0.1636	0.183	0.1627
0.0056	0.0536	0.0046	0.1113	0.0728	0.0344	0.1506	0.1429	0.1842	0.1086	0.0956	0.0364	0.0106	0.0515	0.1444	0.0716	0.0881	0.0309	0.1721	0.1407	0.0951	0.1689	0.0564	0.0529	0.1032	0.0953	0.0328	0.0484	0.1758	0.1279	0.1527	0.1797	0.0846	0.0992	0.0388	0.1572	0.048	0.1535	0.0214	0.0036	0.1067	0.1288	0.0128	0.1424	0.1451	0.0204	0.0877	0.1843	0.1184	0.0758	0.0654	0.141	0.0132	0.1314	0.0474	0.1249	0.0059	0.0437	0.1598	0.0581	0.1013	0.0238	0.068	0.0439	0.0577	0.1832	0.0926	0.0816	0.0232	0.156	0.0788	0.0089	0.112	0.037	0.1632	0.0881	0.0002	0.1792	0.1633	0.1788	0.1792	0.0882	0.0714	0.1359	0.0738	0.1806	0.1705	0.1606	0.0946	0.0189	0.0176	0.0257	0.0183	0.1121	0.0895	0.0955	0.1617	0.081	0.1679	0.0921
0.0087	0.0822	0.0074	0.0755	0.0271	0.0507	0.0907	0.0776	0.1694	0.0745	0.1222	0.0488	0.0162	0.0217	0.1347	0.028	0.0663	0.013	0.1164	0.0821	0.081	0.1181	0.077	0.0225	0.0563	0.05	0.0131	0.0186	0.164	0.1066	0.1397	0.1498	0.047	0.056	0.0225	0.1481	0.0744	0.1037	0.0096	0.001	0.1028	0.0785	0.0259	0.0767	0.1157	0.0068	0.1103	0.1252	0.0722	0.0408	0.0265	0.0725	0.0034	0.0955	0.0164	0.1327	0.0089	0.0179	0.0982	0.0201	0.0793	0.0113	0.0247	0.0595	0.0791	0.1261	0.0439	0.0747	0.0093	0.1055	0.0348	0.0028	0.0799	0.0508	0.1495	0.053	0.0	0.137	0.1428	0.1355	0.1237	0.0382	0.0365	0.0727	0.0825	0.1437	0.1284	0.1677	0.0782	0.0069	0.0056	0.029	0.0077	0.114	0.0993	0.1127	0.1238	0.0327	0.1327	0.0528
0.017	0.1036	0.0099	0.0415	0.009	0.0729	0.0418	0.0321	0.1388	0.0434	0.1462	0.0619	0.0211	0.0076	0.1056	0.0125	0.0499	0.0064	0.0673	0.0394	0.0648	0.0731	0.0896	0.0076	0.0258	0.0212	0.0047	0.0049	0.1244	0.0841	0.111	0.1183	0.0226	0.0333	0.0109	0.1266	0.0948	0.0584	0.0025	0.0002	0.0918	0.0371	0.044	0.0345	0.0808	0.0016	0.1209	0.0739	0.0367	0.0203	0.0093	0.0359	0.0005	0.0607	0.0065	0.1446	0.0126	0.0074	0.0532	0.0067	0.0565	0.0041	0.0087	0.077	0.1028	0.0744	0.014	0.061	0.0052	0.0639	0.0127	0.0006	0.0448	0.0662	0.1118	0.0222	0.0003	0.0872	0.1129	0.084	0.0784	0.0141	0.0176	0.0367	0.0925	0.1014	0.0795	0.1411	0.0596	0.0031	0.0017	0.0364	0.0027	0.106	0.1118	0.1233	0.0887	0.0123	0.1014	0.0214
0.0313	0.1197	0.0143	0.0188	0.0037	0.0856	0.0181	0.0149	0.0943	0.0255	0.1365	0.0619	0.0301	0.0024	0.0782	0.0034	0.0421	0.003	0.0363	0.0203	0.0575	0.0379	0.1032	0.0023	0.0114	0.0069	0.0015	0.0017	0.0854	0.0622	0.0892	0.0707	0.0087	0.0148	0.0052	0.0969	0.1118	0.0294	0.0013	0.0003	0.0692	0.0157	0.0651	0.0131	0.0561	0.0002	0.1156	0.0349	0.0177	0.0073	0.0025	0.0149	0.0003	0.0367	0.0019	0.1215	0.0147	0.0026	0.0267	0.0023	0.0405	0.0028	0.0023	0.0864	0.1154	0.0348	0.0042	0.0547	0.0024	0.0341	0.0046	0.0002	0.0234	0.0719	0.0758	0.0115	0.0002	0.0533	0.0751	0.0485	0.0391	0.0071	0.0081	0.0159	0.0923	0.062	0.0466	0.1076	0.0444	0.0012	0.0004	0.0407	0.0006	0.0903	0.1062	0.1194	0.049	0.0037	0.0591	0.0097
0.0387	0.127	0.0175	0.0088	0.0017	0.099	0.0083	0.0057	0.0548	0.0146	0.1222	0.0779	0.0341	0.0009	0.0495	0.0013	0.0325	0.0013	0.0179	0.0056	0.0471	0.0188	0.0988	0.0009	0.0042	0.0021	0.0	0.0003	0.0537	0.0419	0.0648	0.0386	0.003	0.0056	0.0033	0.0654	0.1158	0.0136	0.0009	0.0001	0.0523	0.0063	0.0827	0.0044	0.0288	0.0001	0.1073	0.0134	0.0061	0.0039	0.0013	0.0048	0.0	0.0235	0.0008	0.096	0.0218	0.0008	0.0113	0.0005	0.0274	0.0004	0.0007	0.1012	0.124	0.0154	0.0012	0.0383	0.0008	0.0181	0.0014	0.0	0.0137	0.0809	0.0483	0.0075	0.0007	0.0319	0.048	0.0234	0.0157	0.0026	0.0027	0.006	0.0985	0.0309	0.0269	0.0782	0.0304	0.0002	0.0002	0.0453	0.0003	0.0795	0.1	0.104	0.0269	0.0018	0.034	0.0034
0.0533	0.1103	0.0237	0.0035	0.0002	0.1059	0.0031	0.0017	0.0333	0.009	0.0992	0.0836	0.0436	0.0002	0.0323	0.0	0.0252	0.0004	0.0061	0.0028	0.0351	0.0088	0.1005	0.0001	0.001	0.0005	0.0	0.0001	0.024	0.0294	0.0438	0.0203	0.0008	0.0017	0.0011	0.0417	0.1189	0.0053	0.0001	0.0	0.034	0.0021	0.1012	0.0014	0.0169	0.0	0.0964	0.0055	0.0027	0.0007	0.0005	0.0018	0.0001	0.0131	0.0001	0.0739	0.0266	0.0004	0.0055	0.0003	0.0158	0.0003	0.0	0.0978	0.107	0.0074	0.0001	0.0311	0.0004	0.0088	0.0006	0.0	0.0077	0.0897	0.0328	0.0033	0.0013	0.0139	0.0326	0.0142	0.0087	0.0007	0.0006	0.0022	0.0869	0.018	0.0137	0.048	0.0265	0.0002	0.0	0.0546	0.0	0.0605	0.0901	0.09	0.0134	0.0003	0.0208	0.001
