4-0.0
0.0664
0.03879
0.04283
0.04528
0.04686
0.04789
0.04733
0.0468
0.04524
0.04448
0.04291
0.041
0.03862
0.03582
0.03453
0.03158
0.02993
0.02767
0.0252
0.0227
0.02011
0.01917
0.01707
0.01563
0.01454
0.01249
0.01105
0.01036
0.00865
0.00869
0.00707
0.00668
0.00558
0.00494
0.00457
0.00376
0.00319
0.00299
0.00302
0.00235
0.00214
0.00204
0.0016
0.00142
0.00122
0.00099
0.0009
0.00078
0.00072
0.00057
0.00056
0.00039
0.00037
0.0004
0.00021
0.00029
0.00019
0.00022
0.00017
0.00015
0.00011
8.0e-5
6.0e-5
0.00013
9.0e-5
