0-240
0.541
0.1251
0.09229
0.06754
0.04964
0.0364
0.02568
0.01836
0.01319
0.00942
0.00654
0.0048
0.00328
0.00196
0.00156
0.00093
0.00062
0.00057
0.00032
0.00021
0.00013
0.00015
9.0e-5
7.0e-5
4.0e-5
3.0e-5
3.0e-5
2.0e-5
0.0
0.0
1.0e-5
0.0
1.0e-5
0.0
0.0
1.0e-5
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
