90-150
0.20921
0.09376
0.08875
0.08028
0.07306
0.06548
0.05798
0.05069
0.04409
0.03832
0.03186
0.02805
0.0228
0.02069
0.01601
0.0137
0.01148
0.00941
0.00844
0.00652
0.0056
0.00438
0.00374
0.00284
0.00249
0.00186
0.00164
0.00132
0.00111
0.00089
0.0007
0.00051
0.00047
0.00053
0.00029
0.00019
0.0002
0.00016
3.0e-5
9.0e-5
8.0e-5
1.0e-5
6.0e-5
4.0e-5
3.0e-5
4.0e-5
3.0e-5
1.0e-5
1.0e-5
2.0e-5
2.0e-5
1.0e-5
1.0e-5
1.0e-5
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
