0.0-sqrt(8.0),0.0-sqrt(8.0),0.0-sqrt(8.0),0.0-sqrt(8.0),0.0-sqrt(8.0),0.0-sqrt(8.0),3.0-sqrt(2.0),3.0-sqrt(2.0),3.0-sqrt(2.0),3.0-sqrt(2.0),3.0-sqrt(2.0),3.0-sqrt(2.0)
0,8.00E-06,9.00E-05,0.000168,0.001912,0.003548,0,6.00E-06,0.000102,0.000134,0.002106,0.004586
0,6.00E-06,7.20E-05,0.000122,0.00172,0.003396,0,8.00E-06,9.20E-05,0.000122,0.00187,0.004272
0,8.00E-06,4.60E-05,9.80E-05,0.001746,0.003432,0,4.00E-06,7.20E-05,9.00E-05,0.001772,0.004264
0,6.00E-06,6.00E-05,9.00E-05,0.00142,0.003144,0,0,5.40E-05,9.00E-05,0.001676,0.003824
0,6.00E-06,4.40E-05,8.20E-05,0.001392,0.00305,0,4.00E-06,5.60E-05,8.80E-05,0.001526,0.003776
0,0,3.40E-05,7.20E-05,0.001256,0.002908,0,2.00E-06,3.20E-05,6.00E-05,0.001422,0.003446
0,4.00E-06,3.60E-05,4.80E-05,0.001166,0.002706,0,2.00E-06,4.80E-05,2.60E-05,0.00123,0.003362
0,0,2.20E-05,3.80E-05,0.001122,0.00274,0,0,3.00E-05,2.00E-05,0.00115,0.00318
0,0,3.20E-05,2.60E-05,0.000926,0.002548,0,0,3.20E-05,3.00E-05,0.001058,0.00295
0,0,2.80E-05,3.60E-05,0.000864,0.002508,0,0,1.80E-05,2.80E-05,0.000986,0.002824
0,2.00E-06,2.40E-05,2.80E-05,0.000844,0.002334,0,0,2.60E-05,3.20E-05,0.000828,0.002694
0,2.00E-06,8.00E-06,1.20E-05,0.000728,0.002188,0,0,1.40E-05,1.20E-05,0.000788,0.00249
0,0,1.20E-05,1.40E-05,0.000668,0.002002,0,0,2.40E-05,2.20E-05,0.000676,0.002392
0,0,1.80E-05,8.00E-06,0.000628,0.001922,0,0,1.00E-05,1.00E-05,0.000702,0.002206
0,0,1.00E-05,1.40E-05,0.000542,0.00188,0,0,1.60E-05,2.00E-06,0.000564,0.00211
0,0,1.60E-05,6.00E-06,0.0006,0.001756,0,0,8.00E-06,6.00E-06,0.000574,0.001954
