x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,0-240,30-210,60-180,90-150,120-120
0.00359,0.00265,0.00226,0.00145,0.00116,0,0,0,0,0,6.00E-05,5.00E-05,0,4.00E-05,4.00E-05
0.00337,0.00242,0.00165,0.00117,0.00105,0,0,0,0,0,4.00E-05,3.00E-05,8.00E-05,1.00E-05,3.00E-05
0.00262,0.00227,0.00159,0.00107,0.00094,0,0,0,0,0,7.00E-05,8.00E-05,4.00E-05,1.00E-05,1.00E-05
0.00275,0.00182,0.00135,0.00084,0.00082,0,0,0,0,0,5.00E-05,3.00E-05,2.00E-05,2.00E-05,3.00E-05
0.00235,0.00196,0.00126,0.00092,0.00066,0,0,0,0,0,6.00E-05,4.00E-05,2.00E-05,1.00E-05,1.00E-05
0.00239,0.00123,0.00101,0.00079,0.00056,0,0,0,0,0,2.00E-05,0,3.00E-05,4.00E-05,0
0.00193,0.00122,0.00095,0.00057,0.00038,0,0,0,0,0,3.00E-05,0,2.00E-05,3.00E-05,1.00E-05
0.00158,0.00105,0.00083,0.0006,0.0005,0,0,0,0,0,2.00E-05,3.00E-05,1.00E-05,1.00E-05,0
0.0016,0.00115,0.00064,0.00064,0.00035,0,0,0,0,0,1.00E-05,3.00E-05,1.00E-05,1.00E-05,0
0.0012,0.00083,0.00067,0.00038,0.00035,0,0,0,0,0,1.00E-05,1.00E-05,0,2.00E-05,1.00E-05
0.0011,0.00085,0.00037,0.00034,0.00027,0,0,0,0,0,0,0,0,0,1.00E-05
0.00091,0.00071,0.00043,0.00024,0.00028,0,0,0,0,0,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05
0.00104,0.00062,0.00043,0.00023,0.00016,0,0,0,0,0,1.00E-05,3.00E-05,0,1.00E-05,0
0.00083,0.00055,0.00041,0.00019,0.00016,0,0,0,0,0,1.00E-05,0,0,1.00E-05,0
0.00077,0.00049,0.00034,0.00015,0.0001,0,0,0,0,0,0,1.00E-05,2.00E-05,0,0
0.00061,0.00047,0.00029,0.00015,0.00014,0,0,0,0,0,0,1.00E-05,0,0,0
0.00046,0.00039,0.00026,0.00015,0.00012,0,0,0,0,0,1.00E-05,0,0,0,0
0.00052,0.00033,0.00017,0.00015,6.00E-05,0,0,0,0,0,1.00E-05,0,0,0,0
0.00044,0.00032,0.00019,0.00017,9.00E-05,0,0,0,0,0,0,0,0,0,1.00E-05
0.00045,0.00028,0.0001,8.00E-05,0.00012,0,0,0,0,0,0,0,0,0,0
0.00044,0.00026,0.00017,0.0001,5.00E-05,0,0,0,0,0,0,1.00E-05,0,0,0
0.0003,0.0001,7.00E-05,8.00E-05,0,0,0,0,0,0,1.00E-05,0,0,0,0
