x1
0.072452
0.04287
0.04565
0.04758
0.049054
0.048482
0.048296
0.04774
0.04623
0.044628
0.042536
0.040372
0.038206
0.035
0.033006
0.031282
0.028342
0.026054
0.024192
0.021654
0.019846
0.017938
0.016478
0.014894
0.013258
0.012132
0.010734
0.009474
0.008682
0.007692
0.006698
0.006052
0.00526
0.004644
0.004092
0.00362
0.003052
0.002886
0.002398
0.002216
0.001868
0.00158
0.001502
0.001254
0.001116
0.00093
0.000794
0.000752
0.000632
0.00052
0.000484
0.000472
0.00033
0.000272
0.000254
0.000224
0.00021
0.000124
0.000144
0.00013
9.8e-5
0.0001
7.4e-5
5.0e-5
