A
0.006348203469774363
0.01666565674312532
0.028340285594174952
0.039457472184683956
0.048854366502101745
0.055971418035437585
0.06067469043645428
0.06310136710098273
0.06354109591028728
0.06235170284045286
0.05990326610756826
0.05654379912351346
0.052580492952362806
0.048271613149083445
0.043825305894100886
0.039402579179583716
0.035122540276144046
0.03106859680382751
0.02729479172000871
0.02383177387829491
0.02069213537737068
0.017875000342504267
0.015369847828135122
0.013159610369975242
0.011223121577026682
0.009537000053613753
0.008077059373450634
0.006819329361384964
0.005740765706874355
0.004819715019855605
0.004036192176101609
0.0033720169900197878
0.00281084834192509
0.002338146077919166
0.0019410843436466476
0.0016084344649326527
0.0013304309530196364
0.0010986305695181802
0.0009057715089756971
0.0007456375216797602
0.0006129300924176418
0.0005031505118007587
0.0004124927386960627
0.0003377472821322255
0.000276215868187408
0.00022563635244516637
0.00018411715196629878
0.00015008037094339698
0.00012221275671364844
9.942362865731911e-5
8.080895730046664e-5
6.562082389337593e-5
5.324155393107981e-5
4.316188582494071e-5
3.496260424108522e-5
2.8299133807279758e-5
2.2888651239536305e-5
1.8499331451584566e-5
1.494139539619914e-5
1.2059674119863905e-5
9.727444908878304e-6
7.841331741678393e-6
6.317093909599755e-6
5.086154046270311e-6
4.092740350750855e-6
