3.0-sqrt(2.0)
0.00029
0.00192
0.0069
0.01546
0.03009
0.04497
0.06052
0.07248
0.08212
0.08776
0.08813
0.08626
0.0822
0.07278
0.06303
0.05368
0.04284
0.03387
0.02447
0.01727
0.01253
0.00832
0.00497
0.00314
0.00181
0.00097
0.00064
0.00028
0.0002
3.0e-5
4.0e-5
1.0e-5
0.0
2.0e-5
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
