params1,params2
0.091367885,-0.016604062
0.1469607,0.08399573
0.2282538,-0.033934515
0.16749771,0.19364884
0.11565791,0.32989913
-0.020582309,0.10172524
0.068567544,0.21416576
0.30067447,0.43996698
-0.259004,-0.13428429
-0.030209761,-0.113088265
-0.098362915,-0.12066854
0.072320044,0.14435522
0.09856288,0.28077003
-0.22424066,0.18553104
0.11164033,-0.257515
-0.037410382,0.07935841
-0.09804633,-0.083543345
-0.2992257,0.25249478
-0.12941888,0.12069754
0.2021695,-0.26405206
0.07020524,0.018940594
-0.024981063,-0.32043543
-0.09078856,-0.23977752
0.16980359,0.020999022
0.10497366,0.008468006
0.1834014,-0.13751473
0.287035,0.2034407
0.07592939,0.07781692
-0.2874047,-0.18642735
-0.09389077,0.17741324
-0.28904113,0.11790623
-0.09775782,-0.31186044
-0.09680324,-0.14376453
0.16414732,0.38461477
-0.039366324,-0.05606638
0.078823864,-0.029972333
0.28035522,0.30421084
-0.054039393,0.43924266
-0.26773244,-0.254478
-0.08225409,-0.044140454
0.10651179,0.115170084
0.14538564,0.10299717
-0.12817769,-0.13517511
-0.06599704,-0.021693751
0.062159203,-0.21761574
0.18252024,-0.16955267
0.18981926,-0.107265875
0.0011873788,-0.094360836
0.14084047,0.17373073
0.056161523,-0.048951402
0.11167805,-0.16298677
-0.16826545,-0.092837386
0.29787812,0.23200351
-0.0035841018,-0.29784593
0.062137593,0.12327634
-0.14704403,0.012577379
0.117750704,-0.17040555
0.1062272,-0.092381105
-0.30690947,0.15893914
0.04171309,0.050858542
0.14823705,-0.24976796
0.05264663,0.28987128
0.22437353,0.16479611
0.032298837,0.17696992
0.15397294,0.02537506
-0.080556005,-0.1680677
-0.034364324,-0.035426132
0.036404494,0.14349495
-0.052560177,-0.029297462
-0.106260285,-0.23950142
0.13875057,-0.28994912
0.08319154,0.3752886
-0.21144259,0.057978034
0.05401624,-0.0963645
-0.06617404,0.040856816
-0.006758511,-0.14642209
0.06937289,0.14493133
-0.009546861,-0.17608203
-0.28785115,0.17224117
0.24316272,0.0101282485
-0.07532374,0.011702569
0.21169707,0.066320226
0.2826517,0.28740245
0.22296456,-0.25836933
0.15154245,-0.14174058
-0.1102835,-0.2679706
0.23704934,-0.010758685
0.064524256,-0.35703638
-0.1538333,-0.10528282
-0.1639003,0.34739053
0.15890512,-0.22842166
-0.20862417,0.40906706
-0.03709022,0.24642086
0.09121917,0.09246808
-0.20314889,0.047820814
0.30608845,-0.1600925
0.31098408,-0.13675623
-0.2072859,-0.10523634
0.052258868,0.05833111
0.040142667,-0.1944712
0.0012229388,-0.089992516
-0.19177696,0.30007508
-0.033700537,0.04371436
0.1581609,0.22644357
0.16837409,0.18591681
-0.24672571,-0.1740004
0.23019816,-0.17458864
-0.0075045004,0.3828604
-0.13075802,0.14974663
0.05000239,-0.12553668
0.23208109,-0.031591337
-0.012282323,-0.23114155
0.19125439,0.14608094
-0.30963662,0.3335744
-0.07353568,0.16608113
0.10479823,-0.07485056
-0.06715351,0.36804014
-0.065004855,0.28231397
-0.012765687,0.108920716
0.023044154,-0.045250602
-0.11340561,-0.21808894
-0.02690523,-0.39032343
0.02268439,-0.18079636
0.29853693,-0.3665777
0.016922615,-0.116222024
-0.02671228,0.23931979
0.1350484,-0.1304744
-0.29346636,-0.2819696
-0.1336987,-0.13223565
0.2726186,0.3408235
-0.31988278,-0.07102871
-0.06428244,-0.20153382
0.0865301,-0.053679563
-0.06951483,-0.117009714
-0.0014258157,0.03123304
-0.0268706,-0.013721025
-0.08884405,-0.09746556
-0.2311762,0.20081957
-0.20545155,-0.2981447
-0.32139105,-0.38433522
0.003109043,-0.31110802
0.061866287,-0.18688819
0.14102466,0.17564644
-0.038904607,-0.42651668
0.04513529,0.27051133
0.20203824,-0.2733768
0.18794791,-0.12336235
0.09941863,-0.101046376
0.29508314,0.17000699
0.08675267,-0.03299738
0.23442125,-0.037823662
0.12077066,-0.39486507
0.18128523,0.25861415
0.14025307,-0.15491097
0.055719532,0.12308686
-0.18007615,-0.28293714
-0.04764426,-0.24872738
0.16837254,-0.34341374
-0.113675475,0.052710824
-0.02090711,-0.11464441
-0.050466,0.2424159
0.34309125,-0.19097432
-0.08171061,-0.11645325
-0.13209261,-0.31327504
0.022766832,-0.15568574
-0.04197891,-0.051586315
0.010523387,-0.21380438
0.08625512,0.29856208
-0.15875976,0.31006894
0.34364364,0.31745985
-0.027263831,0.12730418
0.29639772,-0.11274935
-0.03932629,0.30991223
0.25577533,0.22407785
-0.22614224,-0.034091778
0.019063545,0.122736245
0.24606587,-0.14663123
-0.17547879,-0.22868203
-0.043622915,-0.37198064
0.06103953,-0.28707266
-0.1527558,-0.182751
-0.02763876,0.3195985
0.3337353,0.28839296
0.22664124,-0.34912327
0.23315093,0.40166813
-0.27540874,-0.25012532
0.32140744,-0.056814153
0.1467084,-0.35905463
-0.1017076,0.104473054
-0.071102425,0.4281276
0.28394467,-0.27693632
-0.16309963,-0.036683064
-0.119902566,-0.062857024
-0.31739506,0.3520104
-0.29265523,-0.27417
0.011076592,0.059162166
-0.02431196,-0.27223137
-0.022287695,-0.2706308
0.31328678,0.40551746
