x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0e-5,4.0e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00014,4.0e-5,4.0e-5,4.0e-5,6.0e-5,6.0e-5,6.0e-5,8.0e-5,0.0,0.0001,8.0e-5,2.0e-5,0.0,2.0e-5,2.0e-5,6.0e-5,0.0,0.0,0.0,0.00014,0.0,0.0,0.0,0.0
0.0002,0.00044,0.00038,0.00032,0.00018,0.00046,0.00062,0.00036,4.0e-5,0.00038,0.0006,0.00046,0.0,6.0e-5,0.00034,0.00032,0.0,0.0,2.0e-5,0.00052,0.0,0.0,0.0,2.0e-5
0.00126,0.00168,0.0018,0.0018,0.00074,0.00174,0.0017,0.00172,0.00024,0.00174,0.00186,0.00188,0.0,0.00016,0.00146,0.00168,0.0,0.0,8.0e-5,0.00126,0.0,0.0,0.0,0.00014
0.00338,0.00558,0.00518,0.00506,0.00276,0.00488,0.00546,0.005,0.0005,0.00498,0.00512,0.00542,0.0,0.00034,0.00386,0.00506,0.0,0.0,0.00014,0.00422,0.0,0.0,0.0,0.00018
0.00924,0.01182,0.01284,0.01224,0.00696,0.01188,0.01328,0.0125,0.00174,0.01088,0.0125,0.0134,0.0,0.0011,0.01092,0.0115,0.0,0.0,0.0003,0.00978,0.0,0.0,0.0,0.00042
0.01866,0.02548,0.02658,0.0253,0.01608,0.02382,0.02602,0.0252,0.00326,0.02202,0.02596,0.02406,0.0,0.00204,0.0219,0.0255,0.0,0.0,0.00084,0.02058,0.0,0.0,0.0,0.00076
0.0328,0.0418,0.04354,0.04422,0.02776,0.04172,0.0427,0.04276,0.0072,0.0385,0.04228,0.0453,0.0,0.00334,0.03778,0.04246,0.0,0.0,0.0014,0.0352,0.0,0.0,0.0,0.00066
0.05352,0.06422,0.06614,0.06492,0.0444,0.06406,0.06606,0.06472,0.01422,0.05714,0.06552,0.0667,0.0,0.00602,0.0573,0.0641,0.0,0.0,0.00234,0.05256,0.0,0.0,0.0,0.00144
0.07376,0.08584,0.08814,0.08798,0.0633,0.08448,0.08844,0.0859,0.0223,0.07734,0.08532,0.08834,0.0,0.00976,0.07644,0.08746,0.0,0.0,0.00336,0.07288,0.0,0.0,0.0,0.0018
0.09132,0.10412,0.105,0.104,0.0818,0.10432,0.1049,0.10408,0.033,0.09612,0.10484,0.10472,0.0,0.01364,0.09452,0.10232,0.0,0.0,0.00444,0.09008,0.0,0.0,0.0,0.00228
0.10566,0.11236,0.1144,0.1127,0.09926,0.11332,0.1144,0.1135,0.04332,0.10756,0.11362,0.11418,0.0,0.01826,0.10538,0.11274,0.0,0.0,0.00578,0.09806,0.0,0.0,0.0,0.00222
0.11268,0.1135,0.1138,0.11342,0.10584,0.11606,0.11254,0.11452,0.05776,0.11254,0.11378,0.11288,0.0,0.02298,0.10878,0.11508,0.0,0.0,0.0058,0.1045,0.0,0.0,0.0,0.00266
0.10924,0.1064,0.1028,0.10818,0.10608,0.10542,0.10562,0.10738,0.06844,0.10778,0.10598,0.10544,0.0,0.02838,0.10464,0.10558,0.0,0.0,0.00708,0.10132,0.0,0.0,0.0,0.00272
0.09728,0.09154,0.09026,0.0902,0.09912,0.09134,0.09074,0.09162,0.07508,0.09264,0.08998,0.09132,0.0,0.0342,0.09252,0.09238,0.0,0.0,0.0075,0.09166,0.0,0.0,0.0,0.0031
0.08328,0.07428,0.0712,0.07242,0.0884,0.07388,0.07242,0.07348,0.08146,0.07968,0.07076,0.07082,2.0e-5,0.0368,0.07736,0.07384,0.0,0.0,0.00778,0.0773,0.0,0.0,0.0,0.00286
0.0658,0.0555,0.05534,0.05508,0.07388,0.0557,0.0554,0.0559,0.08738,0.06096,0.05602,0.05332,0.0,0.0429,0.06348,0.05474,0.0,0.0,0.00874,0.06446,0.0,0.0,0.0,0.00314
0.04906,0.0392,0.03848,0.03834,0.05734,0.03912,0.03732,0.0373,0.0836,0.04508,0.04044,0.0383,0.0,0.0466,0.04666,0.04014,0.0,0.0,0.00864,0.05162,0.0,0.0,0.0,0.0024
