60-180
0.13279
0.07127
0.07371
0.0711
0.06756
0.06471
0.06
0.05381
0.0509
0.04596
0.04113
0.03588
0.03184
0.02805
0.02509
0.02138
0.01887
0.01694
0.01361
0.01172
0.01003
0.00855
0.00765
0.00648
0.00489
0.00409
0.00378
0.0031
0.00268
0.00229
0.00153
0.00151
0.00124
0.00104
0.00091
0.00064
0.0006
0.00058
0.0003
0.00027
0.00033
0.0002
0.00014
0.00019
0.00011
0.00021
8.0e-5
7.0e-5
2.0e-5
4.0e-5
3.0e-5
2.0e-5
2.0e-5
2.0e-5
2.0e-5
0.0
0.0
0.0
1.0e-5
0.0
1.0e-5
0.0
0.0
0.0
0.0
