x1,x2,x3,x4,x5
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0e-5
0.0,0.0,0.0,0.0,0.00012
0.0,0.0,0.0,0.0,0.00064
0.0,0.0,0.0,2.0e-5,0.00146
0.0,0.0,0.0,0.0001,0.00424
0.0,0.0,0.0,0.00034,0.00902
0.0,0.0,0.0,0.00048,0.01606
0.0,0.0,6.0e-5,0.00132,0.0282
0.0,0.0,6.0e-5,0.00296,0.04364
0.0,0.0,4.0e-5,0.00626,0.0599
0.0,0.0,0.0002,0.01082,0.07456
0.0,0.0,0.00016,0.01702,0.09074
0.0,0.0,0.00052,0.0263,0.10198
0.0,2.0e-5,0.00102,0.0378,0.10154
0.0,0.0,0.00234,0.04838,0.09794
0.0,0.0,0.00368,0.06036,0.0878
0.0,2.0e-5,0.0067,0.07012,0.07584
0.0,6.0e-5,0.01,0.08134,0.05944
0.0,0.0001,0.0138,0.08466,0.0466
0.0,0.0001,0.02094,0.08712,0.03418
0.0,0.00022,0.0282,0.08346,0.02536
0.0,0.00028,0.03656,0.07652,0.01608
0.0,0.00102,0.04422,0.0693,0.01032
0.0,0.0015,0.05258,0.05924,0.00614
0.0,0.00184,0.06212,0.04698,0.0036
0.0,0.0031,0.0672,0.03782,0.00182
2.0e-5,0.0045,0.0707,0.02786,0.0014
0.00012,0.00736,0.07362,0.02208,0.00068
6.0e-5,0.00962,0.0738,0.01408,0.00036
0.00012,0.013,0.0705,0.0099,0.00012
0.00032,0.01788,0.06328,0.00718,0.0001
0.0004,0.0242,0.05908,0.00404,2.0e-5
0.00104,0.0288,0.05088,0.00272,2.0e-5
0.0011,0.03498,0.04552,0.00142,2.0e-5
0.00182,0.03998,0.03606,0.00092,2.0e-5
0.00282,0.04618,0.02742,0.00054,0.0
0.00352,0.052,0.02154,0.00018,0.0
0.0057,0.05602,0.01648,0.0002,2.0e-5
0.00778,0.05926,0.0134,4.0e-5,0.0
0.00922,0.06104,0.00856,6.0e-5,0.0
0.01216,0.06306,0.0067,4.0e-5,0.0
0.01606,0.05948,0.0045,2.0e-5,0.0
0.02016,0.05668,0.00268,0.0,0.0
0.02466,0.05182,0.00192,0.0,0.0
0.02872,0.05012,0.00106,0.0,0.0
0.03328,0.0461,0.00084,0.0,0.0
0.0363,0.0401,0.00042,0.0,0.0
0.04342,0.03538,0.0003,0.0,0.0
0.04568,0.02958,0.0001,0.0,0.0
0.04958,0.02338,0.00012,0.0,0.0
0.05114,0.01922,8.0e-5,0.0,0.0
0.0522,0.0156,4.0e-5,0.0,0.0
0.05554,0.01204,0.0,0.0,0.0
0.05434,0.00986,0.0,0.0,0.0
0.05286,0.00724,0.0,0.0,0.0
0.04902,0.00534,0.0,0.0,0.0
0.04728,0.0038,0.0,0.0,0.0
0.04266,0.0026,0.0,0.0,0.0
0.04078,0.00144,0.0,0.0,0.0
0.03586,0.00138,0.0,0.0,0.0
0.0313,0.001,0.0,0.0,0.0
0.02596,0.00048,0.0,0.0,0.0
0.02362,0.00048,0.0,0.0,0.0
0.0192,0.00028,0.0,0.0,0.0
0.01656,0.00018,0.0,0.0,0.0
0.01362,0.00014,0.0,0.0,0.0
