x1,x2,x3,x4,x5
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4.0e-5
0.0,0.0,0.0,0.0,0.00014
0.0,0.0,0.0,0.0,0.00022
0.0,0.0,0.0,0.0,0.00022
0.0,0.0,0.0,0.0,0.00058
0.0,0.0,0.0,0.0,0.00112
0.0,0.0,0.0,2.0e-5,0.0022
0.0,0.0,0.0,0.0,0.00408
0.0,0.0,0.0,0.0,0.00624
0.0,0.0,0.0,8.0e-5,0.0108
0.0,0.0,0.0,4.0e-5,0.015
0.0,0.0,0.0,0.00022,0.02268
0.0,0.0,0.0,0.00036,0.03032
0.0,0.0,0.0,0.0008,0.03698
0.0,0.0,0.0,0.00124,0.04462
0.0,0.0,0.0,0.0013,0.05334
0.0,0.0,0.0,0.0032,0.06056
0.0,0.0,0.0,0.0039,0.06528
0.0,0.0,0.0,0.00638,0.07006
0.0,0.0,2.0e-5,0.00958,0.07036
0.0,0.0,2.0e-5,0.0119,0.07148
0.0,0.0,2.0e-5,0.01846,0.06876
0.0,0.0,6.0e-5,0.02166,0.06374
0.0,0.0,8.0e-5,0.02708,0.05738
0.0,0.0,0.00022,0.03354,0.05244
0.0,0.0,0.00032,0.03642,0.04444
0.0,0.0,0.00052,0.04594,0.0356
0.0,0.0,0.0009,0.04966,0.0282
0.0,0.0,0.0012,0.05398,0.0215
0.0,0.0,0.0016,0.05718,0.01862
0.0,0.0,0.0029,0.06234,0.01282
0.0,0.0,0.0034,0.06236,0.00968
0.0,0.0,0.00516,0.06034,0.0065
0.0,0.0,0.00592,0.05816,0.00498
0.0,0.0,0.009,0.0558,0.00336
0.0,2.0e-5,0.01092,0.05184,0.00204
0.0,0.0,0.01422,0.04522,0.0013
0.0,0.0,0.0171,0.04286,0.00086
0.0,0.0,0.02128,0.03588,0.00062
0.0,2.0e-5,0.02486,0.03062,0.0003
0.0,2.0e-5,0.0302,0.02608,0.00026
0.0,0.0,0.03442,0.0208,0.0001
0.0,2.0e-5,0.03762,0.01592,8.0e-5
0.0,8.0e-5,0.04216,0.01294,4.0e-5
0.0,8.0e-5,0.04452,0.01022,2.0e-5
0.0,0.00026,0.04882,0.0081,2.0e-5
0.0,0.00036,0.05104,0.0051,2.0e-5
0.0,0.00048,0.05168,0.0039,0.0
0.0,0.00058,0.0517,0.003,0.0
0.0,0.00094,0.05188,0.00176,0.0
0.0,0.00158,0.05158,0.00112,0.0
2.0e-5,0.0021,0.04638,0.00084,0.0
0.0,0.0023,0.04474,0.00062,0.0
0.0,0.00318,0.04102,0.00032,0.0
4.0e-5,0.00418,0.0386,0.0003,0.0
0.0,0.00462,0.03484,0.0002,0.0
2.0e-5,0.00688,0.03066,0.00018,0.0
0.0,0.00882,0.02832,0.00012,0.0
0.0,0.00958,0.02286,4.0e-5,0.0
